title,url,weight,Processor manufacturer,Processor model,Processor series,min hertz, max hertz,cach mem,RAM,internal storage,internal_storage_hdd,internal storage type,GPU manufacturer,GPU model,GPU memory,screen size,screen refresh rate,battery,price
لپ تاپ 15.6 اینچی دل مدل Vostro 3520-i3 1215U 20GB 1SSD 1HDD - کاستوم شده,https://www.digikala.com/product/dkp-15645668/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%AF%D9%84-%D9%85%D8%AF%D9%84-vostro-3520-i3-1215u-20gb-1ssd-1hdd-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,1.66,Intel,1215U,Core i3,0.9,4.4,10,DDR4 ,1024,1024,هیبریدی ,Intel ,UHD Graphics ,0,15.6,120,41,26949000
لپ تاپ 15.6 اینچی دل مدل Vostro 3520-i3 1215U 4GB 256SSD 1HDD - کاستوم شده,https://www.digikala.com/product/dkp-15645672/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%AF%D9%84-%D9%85%D8%AF%D9%84-vostro-3520-i3-1215u-4gb-256ssd-1hdd-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,1.66,Intel,1215U,Core i3,0.9,4.4,10,DDR4 ,256,1024,هیبریدی ,Intel ,UHD Graphics ,0,15.6,120,41,22499000
لپ تاپ 15.6 اینچی ایسوس مدل Vivobook X1502ZA-EJ2233-i3 1220P 12GB 512SSD - کاستوم شده,https://www.digikala.com/product/dkp-15639519/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-vivobook-x1502za-ej2233-i3-1220p-12gb-512ssd-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,1.7,Intel,1220P,Core i3,1.1,4.4,12,DDR4 ,512,0,SSD ,Intel ,UHD Graphics ,0,15.6,60,42,21800000
لپ تاپ 16 اینچی ایسوس مدل ROG Strix G16 G614JIR-N3009W-i9 14900HX 16GB 2SSD RTX4070 - کاستوم شده,https://www.digikala.com/product/dkp-15484337/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-16-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-rog-strix-g16-g614jir-n3009w-i9-14900hx-16gb-2ssd-rtx4070-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,2.5,Intel,14900HX,Core i9,1.6,5.8,36,DDR5 ,2048,0,SSD ,NVIDIA ,GeForce RTX 4070 ,8,16,165,90,140400000
لپ تاپ 16 اینچی ایسوس مدل TUF Gaming A16 FA607PI-N3058-R9 7845HX 16GB 2SSD RTX4070 - کاستوم شده,https://www.digikala.com/product/dkp-15484557/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-16-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-tuf-gaming-a16-fa607pi-n3058-r9-7845hx-16gb-2ssd-rtx4070-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,2.27,AMD,7845HX,Ryzen 9,3,5.2,64,DDR5 ,2048,0,SSD ,NVIDIA ,Geforce RTX 4070 ,8,16,165,90,100500000
لپ تاپ 15.6 اینچی ایسوس مدل TUF Gaming F15 FX507VI-LP062-i7 13620H 16GB 1SSD RTX4070,https://www.digikala.com/product/dkp-15671762/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-tuf-gaming-f15-fx507vi-lp062-i7-13620h-16gb-1ssd-rtx4070/,2.2,Intel,13620H,Core i7,1.8,4.9,24,DDR5 ,1024,0,SSD ,NVIDIA ,GeForce RTX 4070 ,8,15.6,144,90,87000000
لپ تاپ 15.6 اینچی ایسوس مدل ExpertBook B1 B1502CBA-I785bd-i7 1255U 16GB 1SSD - کاستوم شده,https://www.digikala.com/product/dkp-15149167/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-expertbook-b1-b1502cba-i785bd-i7-1255u-16gb-1ssd-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,1.69,Intel,1255U,Core i7,1.2,4.7,12,DDR4 ,1024,0,SSD ,Intel ,Iris Xe ,0,15.6,60,42,39250000
لپ تاپ 15.6 اینچی اینتل مدل NUC X15 Arc-i7 12700H 32GB 1SSD Arc A730M - کاستوم شده,https://www.digikala.com/product/dkp-14680427/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D9%86%D8%AA%D9%84-%D9%85%D8%AF%D9%84-nuc-x15-arc-i7-12700h-32gb-2ssd-arc-a730m-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87-clone-1-of-14569435/,2,Intel,12700H,Core i7,1.7,4.7,24,DDR5 ,1024,0,SSD ,Intel ,Intel Arc A730M ,12,15.6,144,62,77000000
لپ تاپ 16 اینچی ایسوس مدل ROG Strix SCAR 16 GL634JZR-N4077-i9 14900HX 32GB 2SSD RTX4080 - کاستوم شده,https://www.digikala.com/product/dkp-15218326/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-16-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-rog-strix-scar-16-gl634jzr-n4077-i9-14900hx-32gb-2ssd-rtx4080-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,2.65,Intel,14900HX,Core i9,1.6,5.8,36,DDR5 ,2048,0,SSD ,NVIDIA ,GeForce RTX 4080 ,12,16,240,90,191000000
لپ تاپ 15.6 اینچی ایسوس مدل Vivobook 15 X1504VA-NJ379-i7 1355U 16GB 1SSD - کاستوم شده,https://www.digikala.com/product/dkp-14039808/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-vivobook-15-x1504va-nj379-i7-1355u-16gb-1ssd-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,1.7,Intel,1355U,Core i7,1.7,5,12,DDR4 ,1024,0,SSD ,Intel ,Iris Xe ,0,15.6,60,42,38160000
